session ID,日付,スクロール率(%),現在のスクロール位置(px),ページ全体の高さ(px),ビューポートの高さ(px),動画再生時間(秒),案内が表示されたか,デバイス,セッション時間,アクション
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:05:49,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",94.403,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:06:19,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",124.402,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:07:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",195.402,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:08:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",255.401,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:09:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",315.401,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:10:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",375.399,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:11:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",435.398,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:12:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",495.397,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:13:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",555.397,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:14:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",615.396,normal
